horario_id,deporte,dia,hora_inicio,hora_fin,cupo_maximo,cupos_ocupados,estado,precio,plan,categoria,nivel,año_min,año_max,genero
1,Fútbol,LUNES,8:10,9:20,20,0,activo,60,Económico,2011-2012,,2011,2012,Mixto
2,Fútbol,LUNES,8:10,9:20,20,0,activo,60,Económico,2014-2013,,2013,2014,Mixto
3,Fútbol Femenino,LUNES,9:20,10:30,20,0,activo,60,Económico,2010-2015,,2010,2015,Femenino
4,Fútbol,LUNES,10:30,11:40,20,0,activo,60,Económico,2016-2015,,2015,2016,Mixto
5,Fútbol,LUNES,10:30,11:40,20,0,activo,60,Económico,2009-2010,,2009,2010,Mixto
6,Fútbol,LUNES,11:40,12:50,20,0,activo,60,Económico,2018-2017,,2017,2018,Mixto
7,Fútbol,MIERCOLES,8:10,9:20,20,0,activo,60,Económico,2011-2012,,2011,2012,Mixto
8,Fútbol,MIERCOLES,8:10,9:20,20,0,activo,60,Económico,2014-2013,,2013,2014,Mixto
9,Fútbol Femenino,MIERCOLES,9:20,10:30,20,0,activo,60,Económico,2010-2015,,2010,2015,Femenino
10,Fútbol,MIERCOLES,10:30,11:40,20,0,activo,60,Económico,2016-2015,,2015,2016,Mixto
11,Fútbol,MIERCOLES,10:30,11:40,20,0,activo,60,Económico,2009-2010,,2009,2010,Mixto
12,Fútbol,MIERCOLES,11:40,12:50,20,0,activo,60,Económico,2018-2017,,2017,2018,Mixto
19,Vóley,LUNES,8:30,9:40,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
20,Vóley,LUNES,8:30,9:40,20,0,activo,60,Económico,2010,,2010,2010,Mixto
21,Vóley,LUNES,9:40,10:50,20,0,activo,60,Económico,2011,,2011,2011,Mixto
22,Vóley,LUNES,9:40,10:50,20,0,activo,60,Económico,2012-2013,,2012,2013,Mixto
23,Vóley,LUNES,10:50,12:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
24,Vóley,LUNES,10:50,12:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
25,Vóley,MIERCOLES,8:30,9:40,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
26,Vóley,MIERCOLES,8:30,9:40,20,0,activo,60,Económico,2010,,2010,2010,Mixto
27,Vóley,MIERCOLES,9:40,10:50,20,0,activo,60,Económico,2011,,2011,2011,Mixto
28,Vóley,MIERCOLES,9:40,10:50,20,0,activo,60,Económico,2012-2013,,2012,2013,Mixto
29,Vóley,MIERCOLES,10:50,12:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
30,Vóley,MIERCOLES,10:50,12:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
31,Vóley,VIERNES,8:30,9:40,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
32,Vóley,VIERNES,8:30,9:40,20,0,activo,60,Económico,2010,,2010,2010,Mixto
33,Vóley,VIERNES,9:40,10:50,20,0,activo,60,Económico,2011,,2011,2011,Mixto
34,Vóley,VIERNES,9:40,10:50,20,0,activo,60,Económico,2012-2013,,2012,2013,Mixto
35,Vóley,VIERNES,10:50,12:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
36,Vóley,VIERNES,10:50,12:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
37,Básquet,MARTES,8:30,9:40,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
38,Básquet,MARTES,8:30,9:40,20,0,activo,60,Económico,2010,,2010,2010,Mixto
39,Básquet,MARTES,9:40,10:50,20,0,activo,60,Económico,2011,,2011,2011,Mixto
40,Básquet,MARTES,9:40,10:50,20,0,activo,60,Económico,2012-2013,,2012,2013,Mixto
41,Básquet,MARTES,10:50,12:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
42,Básquet,MARTES,10:50,12:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
43,Básquet,JUEVES,8:30,9:40,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
44,Básquet,JUEVES,8:30,9:40,20,0,activo,60,Económico,2010,,2010,2010,Mixto
45,Básquet,JUEVES,9:40,10:50,20,0,activo,60,Económico,2011,,2011,2011,Mixto
46,Básquet,JUEVES,9:40,10:50,20,0,activo,60,Económico,2012-2013,,2012,2013,Mixto
47,Básquet,JUEVES,10:50,12:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
48,Básquet,JUEVES,10:50,12:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
61,ASODE,SABADO,15:30,16:30,20,0,activo,0,,2011-2009,,2009,2011,Mixto
62,ASODE,SABADO,15:30,16:30,20,0,activo,0,,2010,,2010,2010,Mixto
63,ASODE,SABADO,16:30,17:30,20,0,activo,0,,2014-2013-2012,,2012,2014,Mixto
64,ASODE,SABADO,17:30,18:30,20,0,activo,0,,2015-2016-2017,,2015,2017,Mixto
65,Fútbol Ciclo Verano,LUNES,15:30,16:55,20,0,activo,0,,2020-2021,A,2019,2021,Mixto
66,Fútbol Ciclo Verano,LUNES,15:30,16:55,20,0,activo,0,,2019,A,2019,2019,Mixto
67,Fútbol Ciclo Verano,LUNES,17:00,18:25,20,0,activo,0,,2017,PC,2017,2017,Mixto
68,Fútbol Ciclo Verano,LUNES,17:00,18:25,20,0,activo,0,,2016,PC,2016,2016,Mixto
69,Fútbol Ciclo Verano,LUNES,17:00,18:25,20,0,activo,0,,2014,I,2014,2014,Mixto
70,Fútbol Ciclo Verano,LUNES,17:00,18:25,20,0,activo,0,,2015,NF,2015,2015,Mixto
71,Fútbol Ciclo Verano,LUNES,18:30,19:55,20,0,activo,0,,2014,PC,2014,2014,Mixto
72,Fútbol Ciclo Verano,LUNES,18:30,19:55,20,0,activo,0,,2015,PC,2015,2015,Mixto
73,Fútbol Ciclo Verano,LUNES,18:30,19:55,20,0,activo,200,Premium,2013-2014-2015,PREMIUM,2013,2015,Mixto
74,Fútbol Ciclo Verano,MIERCOLES,15:30,16:55,20,0,activo,0,,2020-2021,A,2019,2021,Mixto
75,Fútbol Ciclo Verano,MIERCOLES,15:30,16:55,20,0,activo,0,,2019,A,2019,2019,Mixto
76,Fútbol Ciclo Verano,MIERCOLES,17:00,18:25,20,0,activo,0,,2017,PC,2017,2017,Mixto
77,Fútbol Ciclo Verano,MIERCOLES,17:00,18:25,20,0,activo,0,,2016,PC,2016,2016,Mixto
